"No.","Time","Source","Destination","Protocol","Length","Info"
"6627","16.810326","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5195416 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6628","16.810329","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5196810 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6629","16.810369","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5198204 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6630","16.810372","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5199598 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6631","16.810454","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5200992 Win=49988 Len=0 TSval=3071744725 TSecr=657514833"
"6632","16.810587","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5200992 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6633","16.810589","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5202386 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6634","16.810647","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5203780 Win=49988 Len=0 TSval=3071744725 TSecr=657514833"
"6635","16.810705","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5203780 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6636","16.810707","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5205174 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
